iata,ville,pays,nom,ville_fr,pays_fr,mots,liaisons
FTE,El Calafate,Argentina,El Calafate,,Argentine,,8
ENE,Ende,Indonesia,Ende (H Hasan Aroeboesman),,Indonésie,,8
ENH,Enshi,China,Enshi,,Chine,,8
ERI,Erie,United States,Erie Tom Ridge Field,,États-Unis,USA US Etats Unis,8
FLW,Flores,Portugal,Flores,,Portugal,,8
YSM,Fort Smith,Canada,Fort Smith,,,,8
YFC,Fredericton,Canada,Fredericton,,,,8
FUJ,Fukue,Japan,Fukue,,Japon,,8
FKS,Fukushima,Japan,Fukushima,,Japon,,8
GLK,Galcaio,Somalia,Galcaio,,,,8
GAM,Gambell,United States,Gambell,,États-Unis,USA US Etats Unis,8
GHA,Ghardaia,Algeria,Noumérat - Moufdi Zakaria,,Algérie,,8
GLT,Gladstone,Australia,Gladstone,,Australie,,8
GLV,Golovin,United States,Golovin,,États-Unis,USA US Etats Unis,8
GTO,Gorontalo,Indonesia,Jalaluddin,,Indonésie,,8
GRI,Grand Island,United States,Central Nebraska Regional,,États-Unis,USA US Etats Unis,8
YQU,Grande Prairie,Canada,Grande Prairie,,,,8
GTE,Groote Eylandt,Australia,Groote Eylandt,,Australie,,8
HPH,Haiphong,Vietnam,Cat Bi,,Viêt Nam,,8
YUX,Hall Beach,Canada,Hall Beach,,,,8
YHM,Hamilton,Canada,John C. Munro Hamilton,,,,8
HLZ,Hamilton,New Zealand,Hamilton,,Nouvelle-Zélande,,8
HNA,Hanamaki,Japan,Hanamaki,,Japon,,8
ITO,Hilo,United States,Hilo,,États-Unis,USA US Etats Unis,8
HHH,Hilton Head Island,United States,Hilton Head,,États-Unis,USA US Etats Unis,8
AUQ,Hiva-oa,French Polynesia,Hiva Oa-Atuona,,,,8
YHO,Hopedale,Canada,Hopedale,,,,8
HUH,Huahine Island,French Polynesia,Huahine-Fare,,,,8
HUN,Hualien,Taiwan,Hualien,,,,8
HUI,Hue,Vietnam,Phu Bai,,Viêt Nam,,8
HSL,Huslia,United States,Huslia,,États-Unis,USA US Etats Unis,8
IDA,Idaho Falls,United States,Idaho Falls Regional,,États-Unis,USA US Etats Unis,8
IGR,Iguazu Falls,Argentina,Cataratas Del Iguazú,,Argentine,,8
ITH,Ithaca,United States,Ithaca Tompkins Regional,,États-Unis,USA US Etats Unis,8
IJK,Izhevsk,Russia,Izhevsk,,Russie,,8
JGD,Jiagedaqi District,China,Jiagedaqi,,Chine,,8
HLA,Johannesburg,South Africa,Lanseria,Johannesbourg,Afrique du Sud,,8
KLG,Kalskag,United States,Kalskag,,États-Unis,USA US Etats Unis,8
BBK,Kasane,Botswana,Kasane,,,,8
KSJ,Kasos,Greece,Kasos,,Grèce,,8
KVG,Kavieng,Papua New Guinea,Kavieng,,,,8
KDI,Kendari,Indonesia,Wolter Monginsidi,,Indonésie,,8
KER,Kerman,Iran,Kerman,,,,8
